title,rating,description,release_date,genre,casts,duration,country,production,m_link
Night of the Demon,4.7,A professor and his students have a grisly encounter with a sasquatchlike creature that prowls the backwoods.,1980-02-04,Horror,"['Michael Cutt', 'Paul Kelleher', 'Lynn Eastman-Rossi', 'Michael Lang', 'Bob Collins']",97,United States of America,['Aldan Company'],https://cineb.net/movie/watch-night-of-the-demon-free-83833
Minnesota Clay,6,"Wrongfully imprisoned for a crime he didn't commit, Minnesota Clay seeks revenge on the man who withheld evidence at his trial. There is a problem however, he is going blind.",1964-11-12,Action,"['Cameron Mitchell', 'Antonio Casas', 'Fernando Sancho', 'Ferdinando Poggi', 'José Canalejas']",90,Spain,"['Ultra Films', 'Franco London Films', 'Jaguar Films']",https://cineb.net/movie/watch-minnesota-clay-free-83830
Menarche,6,"In a Brazilian village infested with piranhas, Nanã and Mel are fast growing into adolescence as they dream of ways of protecting themselves against a seemingly inescapable violence. When a mysterious body appears tangled in a fisherman's net, they learn what might be their ultimate protection.",2020-10-01,Drama,"['Aldo Bueno', 'Amanda Yamamoto', 'Nathally Fonseca', 'Amanda Dourado', 'Micheline Lemos']",22,Brazil,['Ano Zero Produções'],https://cineb.net/movie/watch-menarche-free-83827
Man of La Mancha,6.5,"In the sixteenth century, Miguel de Cervantes, poet, playwright, and part-time actor, has been arrested, together with his manservant, by the Spanish Inquisition. They are accused of presenting an entertainment offensive to the Inquisition. Inside the huge dungeon into which they have been cast, the other prisoners gang up on Cervantes and his manservant, and begin a mock trial, with the intention of stealing or burning his possessions. Cervantes wishes to desperately save a manuscript he carries with him and stages, with costumes, makeup, and the participation of the other prisoners, an unusual defense--the story of Don Quixote.",1972-12-20,Music,"['Marne Maitland', ""Peter O'Toole"", 'James Coco', 'Ian Richardson', 'Rosalie Crutchley']",132,United States of America,"['Produzioni Europee Associati (PEA)', 'United Artists']",https://cineb.net/movie/watch-man-of-la-mancha-free-83824
Le Sourire,5.5,"An old psychiatrist finds out that he is likely to suffer a second and probably fatal heart attack in the near future. As a consequence he becomes determined to seduce Odile, a young woman he first encounters in a railway compartment.",1994-08-17,Comedy,"['Bernard Verley', 'Nadia Barentin', 'Jean-Pierre Marielle', 'Chantal Banlier', 'Richard Bohringer']",85,France,"['TF1 Films Production', 'Film Par Film', 'Les Films de la Boissière']",https://cineb.net/movie/watch-le-sourire-free-83821
"Krakatoa, East of Java",5.4,A team of maritime salvage workers are about to embark on a recovery dive. However the 1883 Krakatoa Volcano eruption provides more pressing problems.,1968-12-26,Action,"['Maximilian Schell', 'Diane Baker', 'Barbara Werle', 'Brian Keith', 'Sal Mineo']",131,Italy,"['Security Pictures', 'Cinerama Productions Corp.']",https://cineb.net/movie/watch-krakatoa-east-of-java-free-83818
Four Around the Woman,5.9,"Harry Yquem buys his beloved wife some jewelry in a place where underworld middlemen trade in fake and stolen goods. By chance, he spots a man with whom his wife had an affair in the past.",1921-02-03,Drama,"['Ludwig Hartau', 'Robert Forster-Larrinaga', 'Rudolf Klein-Rogge', 'Gottfried Huppertz', 'Paul Morgan']",85,Germany,['Decla-Bioscop AG'],https://cineb.net/movie/watch-four-around-the-woman-free-83815
Blasted,4.8,"When a former childhood friend crashes Sebastian's bachelor party and makes it all about himself, only an alien invasion can make them put aside their bad blood and reunite as the kick-ass laser-tag duo they once were.",2022-06-22,Comedy,"['Fredrik Skogsrud', 'Axel Bøyum', 'Trim Balaj', 'Ingrid Bolsø Berdal', 'André Sørum']",114,Norway,"['Miso Film Norge', 'Drylab', 'Dagslys', 'Sound Troop']",https://cineb.net/movie/watch-blasted-free-83794
Cristela Alonzo: Middle Classy,6.8,"In the follow up to her 2016 comedy special, Lower Classy, Cristela Alonzo is back for her second Netflix comedy special, Middle Classy. With more money and a smile big enough to show off her hard earned new teeth, Cristela is living the American Dream. She hilariously shares the joys of aging in her forties, her first ever experience with a gyno, and the importance of family.",2022-06-28,Comedy,['Cristela Alonzo'],60,None,[],https://cineb.net/movie/watch-cristela-alonzo-middle-classy-free-83791
Le Sourire,5.5,"An old psychiatrist finds out that he is likely to suffer a second and probably fatal heart attack in the near future. As a consequence he becomes determined to seduce Odile, a young woman he first encounters in a railway compartment.",1994-08-17,Comedy,"['Bernard Verley', 'Nadia Barentin', 'Jean-Pierre Marielle', 'Chantal Banlier', 'Richard Bohringer']",85,France,"['TF1 Films Production', 'Film Par Film', 'Les Films de la Boissière']",https://cineb.net/movie/watch-le-sourire-free-83821
"Krakatoa, East of Java",5.4,A team of maritime salvage workers are about to embark on a recovery dive. However the 1883 Krakatoa Volcano eruption provides more pressing problems.,1968-12-26,Action,"['Maximilian Schell', 'Diane Baker', 'Barbara Werle', 'Brian Keith', 'Sal Mineo']",131,Italy,"['Security Pictures', 'Cinerama Productions Corp.']",https://cineb.net/movie/watch-krakatoa-east-of-java-free-83818
Four Around the Woman,5.9,"Harry Yquem buys his beloved wife some jewelry in a place where underworld middlemen trade in fake and stolen goods. By chance, he spots a man with whom his wife had an affair in the past.",1921-02-03,Drama,"['Ludwig Hartau', 'Robert Forster-Larrinaga', 'Rudolf Klein-Rogge', 'Gottfried Huppertz', 'Paul Morgan']",85,Germany,['Decla-Bioscop AG'],https://cineb.net/movie/watch-four-around-the-woman-free-83815
Blasted,4.8,"When a former childhood friend crashes Sebastian's bachelor party and makes it all about himself, only an alien invasion can make them put aside their bad blood and reunite as the kick-ass laser-tag duo they once were.",2022-06-22,Comedy,"['Fredrik Skogsrud', 'Axel Bøyum', 'Trim Balaj', 'Ingrid Bolsø Berdal', 'André Sørum']",114,Norway,"['Miso Film Norge', 'Drylab', 'Dagslys', 'Sound Troop']",https://cineb.net/movie/watch-blasted-free-83794
Cristela Alonzo: Middle Classy,6.8,"In the follow up to her 2016 comedy special, Lower Classy, Cristela Alonzo is back for her second Netflix comedy special, Middle Classy. With more money and a smile big enough to show off her hard earned new teeth, Cristela is living the American Dream. She hilariously shares the joys of aging in her forties, her first ever experience with a gyno, and the importance of family.",2022-06-28,Comedy,['Cristela Alonzo'],60,None,[],https://cineb.net/movie/watch-cristela-alonzo-middle-classy-free-83791
Endangered,6.4,A sobering look at the erosion of democracy & freedom of the press in the United States and abroad.,2022-06-12,Documentary,[],90,United States of America,"['HBO Documentary Films', 'Loki Films', 'Ronan Production Group']",https://cineb.net/movie/watch-endangered-free-83788
Twice Round the Daffodils,6.2,"Twice Round the Daffodils is a 1962 British comedy drama film directed by Gerald Thomas and starring Juliet Mills, Donald Sinden, Donald Houston, Kenneth Williams, Ronald Lewis, Andrew Ray, Joan Sims and Jill Ireland.  A new group of patients arrive at a hospital to be treated for tuberculosis where they all take a fancy to one of the nurses. The film was adapted from the play Ring for Catty by Patrick Cargill and Jack Beale. Carry on Nurse from 1959 was based on the same play.  The cast and production team of Twice Round the Daffodils create a noticeable similarity with the Carry On films, but the film is not an official member of the Carry On series.",1962-04-02,Comedy,"['Ronald Lewis', 'Juliet Mills', 'Donald Houston', 'Donald Sinden', 'Kenneth Williams']",89,United Kingdom,['Peter Rogers Productions'],https://cineb.net/movie/watch-twice-round-the-daffodils-free-83779
Woodland Grey,4.1,"When a man living alone in the woods saves the life of a young woman, they are forced to coexist. Chaos ensues when the woman makes a terrifying discovery in the woods behind the man's home and unleashes something truly haunting.",2021-07-08,Thriller,"['Ryan Blakely', 'Art Hindle', 'Jenny Raven', 'Tristan D. Lalla', 'Katharine King']",91,Canada,"['Filmoption International', 'Vibe Check Entertainment', 'Franky Films']",https://cineb.net/movie/watch-woodland-grey-free-83776
We Burn Like This,5.5,"Amidst rising anti-Semitism in Billings, Montana, Rae, a 22 year-old descendant of Holocaust survivors uncovers the truth about a childhood accident.",2021-04-01,Drama,"['Madeleine Coghlan', 'Kendra Mylnechuk', 'Devery Jacobs', 'Casidee Riley', 'Angelo Rizzo']",81,United States of America,['Armian pictures'],https://cineb.net/movie/watch-we-burn-like-this-free-83773
#Unknown,4.1,"Years after a series of random murders took place in 2017, book author Michael Lane suddenly begins receiving haunting calls from the unknown. Instead of focusing on the encore to his successful debut book, he becomes obsessed with this mystery and spirals out of control as he unravels each victim caught in the web of a sadistic killer.",2022-01-10,Horror,"['Judd Nelson', 'Hal Ozsan', 'Tom Sizemore', 'Denise Boutte', 'Master P']",97,United States of America,"['Summer House Pictures', 'High Rolling Entertainment', 'Genius Minds']",https://cineb.net/movie/watch-unknown-free-83770
Machine Gun Kelly's Life In Pink,6.2,"An in-depth look at the tremendous highs and lows of a musician vying for the top spot in the music industry while dealing with outside noise, popularity, fatherhood, and more. From the creation of his platinum-selling, No. 1 Billboard album ""Tickets to My Downfall"" through his most recent No. 1 studio album ""Mainstream Sellout,"" this is an all-access pass inside the turbulent world of Machine Gun Kelly, which goes beyond the headlines.",2022-06-27,Documentary,"['Machine Gun Kelly', 'Megan Fox', 'Conor McGregor', 'Mod Sun', 'Trippie Redd']",102,United States of America,[],https://cineb.to/movie/watch-machine-gun-kellys-life-in-pink-free-83767
Love You Anyway,5.6,"The evolving formats of home video chronicle the life of a young girl, Mackenzie, from birth to womanhood as she experiences the highs and lows of life alongside her childhood best friend, Lucas. As Mackenzie's struggle with depression worsens over the years, she’s forced to find the will to fight alongside the people who love her most.",2022-06-27,Drama,"['Reign Edwards', 'Anna Grace Barlow', 'Akira Akbar', 'Charlie Gillespie', 'Gillian White']",80,United States of America,['Wayfarer Studios'],https://cineb.net/movie/watch-love-you-anyway-free-83764
The Moderns,6.6,"Nick Hart is a struggling American artist who lives amongst the expatriate community in 1920s Paris. He spends most of his time drinking and socializing in local café's and pestering gallery owner Libby Valentin to sell his paintings. He becomes involved in a plot by wealthy art patroness Nathalie de Ville to forge three paintings. This leads to several run-ins with American rubber magnate Bertram Stone, who happens to be married to Hart's ex-wife Rachel.",1988-04-15,Comedy,"['Keith Carradine', ""Kevin J. O'Connor"", 'Gailard Sartain', 'Linda Fiorentino', 'Geneviève Bujold']",126,United States of America,"['Nelson Entertainment', 'Alive Productions']",https://cineb.net/movie/watch-the-moderns-free-83761
Gaslight,4.2,"For Brooke, life is good. She's a successful Washington DC architect and happily married. After her father's passing, she receives a substantial financial windfall. She suffers from mental exhaustion and seeks the help of a therapist. Soon, her inheritance begins to disappear. Her life becomes unstable as she becomes unsure if her husband and loved ones are plotting to steal her inheritance or if she's losing her mind. The truth reveals itself in a climax of lies, deception and violence that will keep you guessing until the fatal end.",2022-06-27,Thriller,['Melan Perez'],85,United States of America,['Cartel Pictures'],https://cineb.net/movie/watch-gaslight-free-83758
Dark Light,2.5,Sonny Pietra used to work for the Los Angeles Occult crime unit. Sonny finds himself investigating a mysterious set of murders on the beautiful island of Ireland and unveils a set of satanic murders.,2021-09-08,Mystery,"['Damian Chapa', 'Franky Lankester', ""Luke O'Brien Chapa"", 'Richard Carrington', 'Fay Lawrence-Grant']",91,United States of America,['New York International Pictures'],https://cineb.net/movie/watch-dark-light-free-83755
The Lost Tomb of Alexander the Great,6.4,Archaeologist Pepi Papakosta finds Alexander the Great's lost tomb in this riveting inquiry.,2019-03-04,TV Movie,"['Calliope Limneos-Papakosta', 'Fredrik T. Hiebert']",44,United Kingdom,['Blakeway Productions'],https://cineb.to/movie/watch-the-lost-tomb-of-alexander-the-great-free-83752
The L-Shaped Room,7.3,"Jane is young, French, pregnant and unmarried. Bucking convention, she is uninterested in settling with her baby's father or getting an abortion. After renting a room in a dingy London boarding house, Jane befriends the odd group of inhabitants and starts an affair with one boarder, Toby. As Jane's pregnancy threatens her new relationship, and the reality of single motherhood approaches, she is forced to decide what to do about both her baby and her budding romance.",1962-11-20,Drama,"['Tom Bell', 'Bernard Lee', 'Leslie Caron', 'Brock Peters', 'Avis Bunnage']",126,United Kingdom,"['British Lion Films', 'Romulus Films']",https://cineb.net/movie/watch-the-l-shaped-room-free-83749
The Inugamis,7.2,"When a tycoon passes away, he unexpectedly leaves the family fortune to outsider Tamayo on the condition that she marries one of the grandsons, pitting blood against blood.",1976-10-16,Mystery,"['Teruhiko Aoi', 'Yoko Shimada', 'Mieko Takamine', 'Akiji Kobayashi', 'Miki Sanjo']",146,Japan,['Kadokawa Pictures'],https://cineb.net/movie/watch-the-inugamis-free-83746
The Cruel Sea,7.4,"At the start of World War II, Cmdr. Ericson is assigned to convoy escort HMS Compass Rose with inexperienced officers and men just out of training. The winter seas make life miserable enough, but the men must also harden themselves to rescuing survivors of U-Boat attacks, while seldom able to strike back. Traumatic events afloat and ashore create a warm bond between the skipper and his first officer",1953-02-24,History,"['Jack Hawkins', 'John Stratton', 'Donald Sinden', 'Meredith Edwards', 'Gerard Heinz']",126,United Kingdom,"['Michael Balcon Productions', 'Ealing Studios']",https://cineb.net/movie/watch-the-cruel-sea-free-83743
Son of the White Mare,7.8,A horse goddess gives birth to three powerful brothers who set out into the Underworld to save three princesses from three evil dragons and reclaim their ancestors' lost kingdom.,1981-10-22,Adventure,"['György Cserhalmi', 'Mari Szemes', 'Vera Pap', 'Gyula Szabó', 'Ferenc Szalma']",86,Hungary,['Pannónia Filmstúdió'],https://cineb.net/movie/watch-son-of-the-white-mare-free-83740
Royal Paintbox,7.8,"HRH The Prince of Wales reveals an extraordinary treasure trove of rarely seen art by members of the Royal Family past and present, exploring a colorful palette of intimate family memory and observation. Filmed at Balmoral, Highgrove, Windsor Castle, Frogmore, and Osborne House, Royal Paintbox features art by members of the Royal Family down the centuries including some of HRH The Prince of Wales's own watercolors.",2013-03-01,Documentary,[],N/A,United Kingdom,[],https://cineb.net/movie/watch-royal-paintbox-free-83737
Rio Sex Comedy,4.8,"A group of strangers from different countries end up on Rio's beaches. Seeking self-fulfillment, they look for answers to existential questions. Yet it isn't until their different paths cross that they begin to understand why they came.",2010-09-16,Comedy,"['Fisher Stevens', 'Irène Jacob', 'Jean-Marc Roulot', 'Jérôme Kircher', 'Charlotte Rampling']",124,Brazil,"['Primo Filmes', 'Cinéma Dépendant', 'Tambellini Filmes']",https://cineb.net/movie/watch-rio-sex-comedy-free-83734
Lost Command,6.3,"After being freed from a Vietnamese war prison, French Lt. Col. Pierre Raspeguy is sent to help quell resistance forces in Algeria. With the help of the Capt. Esclavier, who has grown weary of war, and Capt. Boisfeuras, who lives for it, Raspeguy attempts to convert a rugged band of soldiers into a formidable fighting unit, with the promise of marrying a beautiful countess if he's made a general.",1966-05-01,Action,"['George Segal', 'Anthony Quinn', 'Maurice Sarfati', 'Michèle Morgan', 'Alain Delon']",129,United States of America,['Red Lion'],https://cineb.net/movie/watch-lost-command-free-83731
King Tut In Color,6.9,"The discovery of Tutankhamun’s tomb is revealed for the first time in color, thanks to colorization of black-and-white newsreel and photographs.",2021-09-27,Documentary,['Kerry Shale'],45,United Kingdom,['Blakeway Productions'],https://cineb.net/movie/watch-king-tut-in-color-free-83728
Johnny Corncob,7.5,"A traditional Hungarian poetic fairytale that describes the epic adventures of a young shepherd through love, war, magic and death.",1973-05-01,Adventure,"['György Cserhalmi', 'János Körmendi', 'Erzsébet Kútvölgyi', 'Antal Farkas', 'Anikó Nagy']",78,Hungary,['Pannónia Filmstúdió'],https://cineb.net/movie/watch-johnny-corncob-free-83725
Hathi,7.1,"5000 years ago, in India, men started to capture and tame elephants for war, parades and worship. Still today, the young Makbul grows up in daily contact with the wild and domesticated elephants that live in the forest around his native village in southern India. Over the objections of his mother, Makbul follows in the footsteps of his father and grandfather, going deep into the forest to learn the age-old profession of the mahout, or elephant handler in the government's employ. When an elephant calf named Vikrama is born, the animal is placed under Makbul's care.",1998-11-26,Drama,"['Nanny Ama', 'Venkatesh Daggubati', 'Begum Jamila', 'Pyare Jan']",96,Canada,['Les Productions La Fête Inc.'],https://cineb.net/movie/watch-hathi-free-83722
Demon Pond,7.1,"A secret pond outside of a Japanese town is home to fantastical animals. Their story is about getting even, losing everything, and the power of real love. A timeless story that works brilliantly on the big screen.",1979-10-20,Romance,"['Gô Katô', 'Hatsuo Yamaya', 'Tôru Abe', 'Hisashi Igawa', 'Tsutomu Yamazaki']",124,Japan,"['Shochiku Co., Ltd.']",https://cineb.to/movie/watch-demon-pond-free-83719
Deep in My Heart,6.4,Biographic movie about the American composer Sigmund Romberg.,1954-12-09,Music,"['Merle Oberon', 'Walter Pidgeon', 'Doe Avedon', 'Paul Henreid', 'José Ferrer']",132,United States of America,['Metro-Goldwyn-Mayer'],https://cineb.net/movie/watch-deep-in-my-heart-free-83716
A Time to Love and a Time to Die,7.6,"A German soldier home on leave falls in love with a girl, then returns to World War II.",1958-07-09,Drama,"['John Gavin', 'Jock Mahoney', 'Don DeFore', 'Keenan Wynn', 'Liselotte Pulver']",132,United States of America,['Universal International Pictures'],https://cineb.net/movie/watch-a-time-to-love-and-a-time-to-die-free-83713
Losing Addison,5.6,"Les McCubbin spent his whole life in his twin brother Addison's shadow. When Addison severs their psychic connection, Les doesn't just lose his brother - he begins to lose himself.",2022-06-27,Thriller,"['Sherilyn Fenn', 'Ted Rooney', 'Reine Swart', 'Jana Lee Hamblin', 'Sydney Winbush']",90,United States of America,['Losing Addison'],https://cineb.net/movie/watch-losing-addison-free-83707
Green Ghost and the Masters of the Stone,4.3,"In a Texas border town, car salesman Charlie moonlights as a masked Lucha libre wrestler going by the name “Green Ghost.” When unknown assailants arrive seeking an otherworldly emerald, Charlie discovers that he has super powers. As he learns to fight from the unconventional Master Gin, Charlie is told that he’s part of a secret warrior “triad of light” with his childhood friend Marco and Marco’s sister Karina led by La Nana. Together, they’ve been chosen to protect humanity from Drake, the embodiment of the Mayan apocalypse.",2022-04-29,Action,"['Kuno Becker', 'Marko Zaror', 'Renée Victor', 'Cain Velasquez', 'Sofia Pernas']",81,United States of America,"['Pure Mutt Productions', 'Zaror Entertainment']",https://cineb.net/movie/watch-green-ghost-and-the-masters-of-the-stone-free-83704
Back to Lyla,6.1,"After discovering he might die soon, a timid young man along with his estranged and outrageous childhood friends, embark on a quest for closure on why the love of his life left.",2022-06-27,Comedy,"['Hassie Harrison', 'Emma Kenney', 'Tracie Thoms', 'Danube R. Hermosillo', 'E.R. Ruiz']",95,United States of America,['Foster Productions'],https://cineb.net/movie/watch-back-to-lyla-free-83701
A Beautiful Curse,4.7,"On an island struck with a sleeping phenomenon, a rogue visitor falls for one of the inhabitants, not realising the personal danger it brings.",2021-03-20,Fantasy,"['Olivia Vinall', 'Iben Hjejle', 'Mark Strepan']",92,Denmark,['Les Producers'],https://cineb.net/movie/watch-a-beautiful-curse-free-83698
Walk East on Beacon!,5.9,"George Murphy, a refugee physicist, and the Coast Guard break up a Soviet spy ring in Boston.",1952-06-01,Drama,"['Finlay Currie', 'Virginia Gilmore', 'George Murphy', 'Karel Stepanek', 'Louisa Horton']",98,United States of America,"['Columbia Pictures', 'RD-DR Productions']",https://cineb.to/movie/watch-walk-east-on-beacon-free-83683
A Woman at Her Window,6.1,Greece in the year 1936 An aristocratic woman has a string of meaningless relationships before she finds herself developing romantic feelings for a political activist.,1976-11-10,Drama,"['Romy Schneider', 'Gastone Moschin', 'Delia Boccardo', 'Umberto Orsini', 'Victor Lanoux']",110,Germany,"['Rizzoli Films', 'Cinema 77', 'Albina Productions S.a.r.l.', 'TC Productions']",https://cineb.to/movie/watch-a-woman-at-her-window-free-83680
Children's Play,5.3,"Marianne and Jacques are a young middle-class couple who live in a chic Parisian apartment with their two young children. One day, Marianne receives an unexpected visit from two strangers, Mr and Mrs Worms, who claim to have lived in the apartment when they were children and who ask if they can just take a look around their former home. Marianne agrees, but no sooner have the mysterious Worms left than things take an inexplicable turn for the worse...",2001-06-19,Horror,"['Karin Viard', 'Charles Berling', 'Ludivine Sagnier', 'Aurélien Recoing', 'Manuela Gourary']",85,France,['Bee Movies'],https://cineb.net/movie/watch-childrens-play-free-83674
Three Years,5.5,"After the French defeat of 1870, Julia took three years to love Alexander, with whom she married for her fortune. Alas, when Julia wants to declare his love to her husband, the latter confesses to him that his passion is extinguished.",1990-08-29,Drama,"['Sabine Azéma', 'Lucas Belvaux', 'Jacques Villeret', 'Maryline Even', 'Jean-Marie Winling']",93,France,"['Mod Films', 'TF1 Films Production']",https://cineb.net/movie/watch-three-years-free-83671
They Came to Cordura,6.4,"An army major, himself guilty of cowardice, is asked to recommended soldiers for the Congressional Medal of Honor during the Mexican Border Incursion of 1916.",1959-06-01,Western,"['Gary Cooper', 'Tab Hunter', 'Rita Hayworth', 'Van Heflin', 'Edward Platt']",123,United States of America,['Columbia Pictures'],https://cineb.net/movie/watch-they-came-to-cordura-free-83668
The Tall Men,6.7,"Two brothers discharged from the Confederate Army join a businessman for a cattle drive from Texas to Montana where they run into raiding Jayhawkers, angry Sioux, rough terrain and bad weather.",1955-09-22,Western,"['Robert Ryan', 'Clark Gable', 'Harry Shannon', 'Jane Russell', 'Robert Adler']",122,United States of America,['20th Century Fox'],https://cineb.net/movie/watch-the-tall-men-free-83665
The Loved One,7,"Newly arrived in Hollywood from England, Dennis Barlow finds he has to arrange his uncle's interment at the highly-organised and very profitable Whispering Glades funeral parlour. His fancy is caught by one of their cosmeticians, Aimee Thanatogenos. But he has three problems - the strict rules of owner Blessed Reverand Glenworthy, the rivalry of embalmer Mr Joyboy, and the shame of now working himself at The Happy Hunting Ground pets' memorial home.",1965-10-11,Comedy,"['Robert Morse', 'Milton Berle', 'Jonathan Winters', 'John Gielgud', 'James Coburn']",122,United States of America,['Filmways Pictures'],https://cineb.net/movie/watch-the-loved-one-free-83662
The Last Hurrah,7.3,"In a changing world where television has become the main source of information, Adam Caulfield, a young sports journalist, witnesses how his uncle, Frank Skeffington, a veteran and honest politician, mayor of a New England town, tries to be reelected while bankers and captains of industry conspire in the shadows to place a weak and manageable candidate in the city hall.",1958-12-31,Drama,"['Donald Crisp', 'Pat O’Brien', 'Basil Rathbone', 'Spencer Tracy', 'Jeffrey Hunter']",117,United States of America,['Columbia Pictures'],https://cineb.net/movie/watch-the-last-hurrah-free-83659
The Frozen Kingdom of the Snow Leopard,7.6,"Join the big cats as we get up close and personal with their journeys through growing pains, adulthood, survival struggles and unfamiliar territories. These seven films follow the lives of some of the most formidable feline predators - lions, leopards, tigers and cheetahs in intimate detail.",2020-10-18,Documentary,['Frédérique Tirmont'],N/A,France,"['ZED', 'France Télévisions']",https://cineb.net/movie/watch-the-frozen-kingdom-of-the-snow-leopard-free-83653
The Big City,8.2,"Life at home changes when a housewife from a middle-class, conservative family in Calcutta gets a job as a salesperson.",1963-09-27,Drama,"['Anil Chatterjee', 'Sefalika Devi', 'Jaya Bachchan', 'Haren Chatterjee', 'Madhabi Mukherjee']",131,India,['R.D. Banshal & Co.'],https://cineb.net/movie/watch-the-big-city-free-83650
Stunt Rock,5.4,"Grant Page, an Australian stuntman, goes to Los Angeles to work on a TV show. He helps the rock band Sorcery out in his spare time. Page helps the band come up with pyrotechnic magic tricks for their shows. He also tells stories about his own stunts and those of other greats.",1978-06-30,Action,"['Grant Page', 'Monique van de Ven', 'Phil Hartman', 'Margaret Gerard', 'Curtis Hyde']",86,Australia,"['Intertamar', 'Trenchard Productions']",https://cineb.to/movie/watch-stunt-rock-free-83647
Saga,4.4,A Black Metal music video director wants to make a viking feature with the help of his rocker and biker friends. In the Norse classic Eyrbyggja saga they find an ancient zombie story.,2016-01-01,Comedy,"['Ted Skjellum', 'Terje Sødal', 'Trym Sigurdsen', 'Jørn Steen', 'Trond Hannemyr']",88,Norway,['Einherje Film AS'],https://cineb.net/movie/watch-saga-free-83644
His Majesty Minor,4,"In this offbeat comedy, a man raised by a pig dies and is resurrected with a newfound power of speech, elevating his stature among his fellow humans.",2007-10-10,Fantasy,"['Vincent Cassel', 'Sergio Peris-Mencheta', 'Mélanie Bernier', 'Rufus', 'Claude Brasseur']",101,Spain,"['Reperage', 'Malvarrosa Media', 'Mediapro']",https://cineb.net/movie/watch-his-majesty-minor-free-83641
Repeat Performance,6.8,"Broadway star, Sheila Page, shoots Barney, her murderous husband on New Year's Eve. She flees her apartment and goes to her producer, John Friday. When she arrives, it is New Year's day, a year earlier. She has been given the chance to live life over and correct the errors of the past only to find that the end will be the same although the path will be different.",1947-05-22,Drama,"['Virginia Field', 'Richard Basehart', 'Natalie Schafer', 'Louis Hayward', 'Joan Leslie']",91,United States of America,"['Aubrey Schenck Productions', 'Bryan Foy Productions']",https://cineb.net/movie/watch-repeat-performance-free-83638
Diary for My Children,7.4,A semi-autobiographical story of a young woman's life in Budapest under Stalin.,1984-05-03,Drama,"['Sándor Oszter', 'Anna Polony', 'Teri Földi', 'Jan Nowicki', 'Vilmos Kun']",106,Hungary,"['Mafilm', 'Budapest Játékfilmstúdió']",https://cineb.net/movie/watch-diary-for-my-children-free-83635
The Leopard,4.2,"A former secret agent, who retired and wrote a first novel which tells the eventful adventures of his hero ""Le Léopard "", comes back to work, reluctantly helped by an old maid.",1984-03-14,Adventure,"['Claude Brasseur', 'Dominique Lavanant', 'Marius Weyers', 'Max Mégy']",96,France,"['Fildebroc', 'Films A2', 'Union Générale Cinématographique (UGC)']",https://cineb.net/movie/watch-the-leopard-free-83632
15 Février 1839,7.2,"In 1839, months after the British army has repressed the insurrection of the Patriots, hundreds of rebels rot in prison. The morning of February 14, Marie-Thomas Chevalier De Lorimier and Charles Hindelang learn that they will be hung in 24 hours, with three other comrades. While they await their hour of death the condemned spend time and consult with companions and loved ones as well as entrust to those their last wills. At dawn, the five Patriots find the courage to walk with dignity towards the scaffold, knowing that will they die in the name of a just causewww.tribute.ca",2001-01-26,History,"['Matt Hill', 'Frédéric Gilles', 'Sylvie Drapeau', 'Luc Picard', 'Denis Trudel']",114,Canada,"['Téléfilm Canada', 'Cinépix']",https://cineb.net/movie/watch-15-fevrier-1839-free-83629
Dunkirk,7,"A British Corporal in France finds himself responsible for the lives of his men when their officer is killed. He has to get them back to Britain somehow. Meanwhile, British civilians are being dragged into the war with Operation Dynamo, the scheme to get the French and British forces back from the Dunkirk beaches. Some come forward to help, others were less willing.",1958-03-20,War,"['John Mills', 'Robert Urquhart', 'Richard Attenborough', 'Bernard Lee', 'Sean Barrett']",134,United Kingdom,"['Ealing Studios', 'Metro-Goldwyn-Mayer']",https://cineb.net/movie/watch-dunkirk-free-83626
But Always,5.2,"After relocating to New York, former lovers feel the pull of romance once again.",2014-09-04,Drama,"['Nicholas Tse', 'Gao Yuanyuan', 'Qin Hao', 'Tong Dawei', 'Du Haitao']",106,China,"['Beijing Dadi Century Limited', 'Emperor Film and Entertainment', 'Wanda Film and Television Media Co.,Ltd.']",https://cineb.net/movie/watch-but-always-free-83623
Oniroku Dan: Best of SM,5.2,Selected scenes from Roman Porno titles are put into the context of a story by adding book-end sequences that turn the film clips into something more than the average compilation film.,1984-03-16,Documentary,"['Naomi Tani', 'Terumi Azuma', 'Izumi Shima', 'Junko Mabuki', 'Akio Shinguji']",65,Japan,['Nikkatsu Corporation'],https://cineb.net/movie/watch-oniroku-dan-best-of-sm-free-83620
Bells Are Ringing,6.9,"Ella Peterson works in the basement office of Susanswerphone, a telephone answering service. She listens in on others' lives and adds some interest to her own humdrum existence by adopting different identities for her clients. They include an out-of-work Method actor, a dentist with musical yearnings, and in particular playwright Jeffrey Moss, who is suffering from writer's block and desperately needs a muse.",1960-06-23,Music,"['Jean Stapleton', 'Fred Clark', 'Dean Martin', 'Ruth Storey', 'Judy Holliday']",126,United States of America,['Metro-Goldwyn-Mayer'],https://cineb.net/movie/watch-bells-are-ringing-free-83617
A Bullet Is Waiting,5.5,"A plane carrying a sheriff and a man indicted for manslaughter is wrecked on a lonely California beach and the prisoner manages to escape, after a struggle, only to be taken in hand by the female manager of a remote sheep ranch.",1954-09-04,Crime,"['Jean Simmons', 'Brian Aherne', 'Rory Calhoun', 'Stephen McNally']",90,United States of America,['Columbia Pictures'],https://cineb.net/movie/watch-a-bullet-is-waiting-free-83614
